Product ID,Model Type,Size Type,Image URL,Product URL
adidas-harden-vol-1-ash-pearl,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-1-Ash-Pearl-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1557949997",https://stockx.com/adidas-harden-vol-1-ash-pearl
adidas-dame-4-rip-city,Basketball,Men,"https://stockx.imgix.net/Adidas-Dame-4-Rip-City.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-dame-4-rip-city
adidas-harden-vol-2-lift-off,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Lift-Off-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1576268776",https://stockx.com/adidas-harden-vol-2-lift-off
adidas-crazy-1-sunshine,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-1-Sunshine-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1553971950",https://stockx.com/adidas-crazy-1-sunshine
adidas-harden-vol4-bold-blue,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol4-Bold-Blue.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1588008560",https://stockx.com/adidas-harden-vol4-bold-blue
adidas-harden-vol-2-nightmare,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Nightmare-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1570212039",https://stockx.com/adidas-harden-vol-2-nightmare
adidas-harden-vol-3-supernova,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Supernova-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1560367222",https://stockx.com/adidas-harden-vol-3-supernova
adidas-harden-ls-2-night-red,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-LS-2-Night-Red.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-ls-2-night-red
adidas-crazy-8-adv-running-white,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-8-Adv-Running-White.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-crazy-8-adv-running-white
adidas-harden-vol-2-mvp-2018,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-2-MVP-2018-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1570825031",https://stockx.com/adidas-harden-vol-2-mvp-2018
adidas-crazy-8-kobe-vino-pack,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-8-Kobe-Vino-Pack-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598377195",https://stockx.com/adidas-crazy-8-kobe-vino-pack
adidas-dame-4-a-bathing-ape-black,Basketball,Men,"https://stockx.imgix.net/Adidas-Dame-4-A-Bathing-Ape-Black-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598377218",https://stockx.com/adidas-dame-4-a-bathing-ape-black
adidas-harden-vol-2-ls-mvp-2018,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-2-LS-MVP-2018-1.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1558392698",https://stockx.com/adidas-harden-vol-2-ls-mvp-2018
adidas-marquee-boost-core-black-cloud-white,Basketball,Men,"https://stockx.imgix.net/adidas-Marquee-Boost-Core-Black-Cloud-White.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1560959208",https://stockx.com/adidas-marquee-boost-core-black-cloud-white
adidas-harden-volume-1-disruptor,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Disruptor.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-volume-1-disruptor
adidas-harden-volume-1-cargo,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Cargo-Product-1.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598641124",https://stockx.com/adidas-harden-volume-1-cargo
adidas-harden-ls-2-buckle-trace-cargo,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-LS-2-Buckle-Trace-Cargo-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559767815",https://stockx.com/adidas-harden-ls-2-buckle-trace-cargo
adidas-harden-volume-1-arthur-ashe-bhm,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Arthur-Ashe-BHM-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598377218",https://stockx.com/adidas-harden-volume-1-arthur-ashe-bhm
adidas-harden-volume-1-mvp,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volpt1-MVP.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-volume-1-mvp
adidas-t-mac-3-aurora-borealis-green-glow,Basketball,Men,"https://stockx.imgix.net/Adidas-T-Mac-3-Aurora-Borealis-Green-Glow-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1582323566",https://stockx.com/adidas-t-mac-3-aurora-borealis-green-glow
adidas-d-rose-7-black-white,Basketball,Men,"https://stockx.imgix.net/Adidas-D-Rose-7-Black-White.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-d-rose-7-black-white
adidas-d-rose-773-2ihite,Basketball,Men,"https://stockx.imgix.net/adidas-D-Rose-773-2I-White.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1574022523",https://stockx.com/adidas-d-rose-773-2ihite
adidas-d-rose-773-iv-black-scarlet,Basketball,Men,"https://stockx.imgix.net/adidas-D-Rose-773-IV-Black-Scarlet.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1602543185",https://stockx.com/adidas-d-rose-773-iv-black-scarlet
adidas-streetball-black-multi,Basketball,Men,"https://stockx.imgix.net/adidas-Streetball-Black-Multi-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1577992775",https://stockx.com/adidas-streetball-black-multi
