id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-t-mac-millennium-white-gold,adidas,t-mac,adidas t-mac millennium white gold,New,17400.0,11,20900.0,,0.0,0.0,Cloud White/Gold Metallic/Cloud White,16752.0,2019-01-04,17400.0,17400.0,15800.0,19200.0,,1.0,3.1,17400.0,653.0
adidas-eqt-support-adv-clear-onix-white,adidas,eqt,adidas eqt support adv clear onix white,New,10000.0,8.5,,7900.0,-600.0,-6.0,Clear Onix/Running White/Core Black,11517.0,2017-01-01,10600.0,10000.0,9600.0,10300.0,3.2,2.0,-14.5,10300.0,1386.0
adidas-samba-adv-shepard-fairey,adidas,samba,adidas samba adv shepard fairey,New,7400.0,9.5,31700.0,6800.0,-1000.0,-12.0,Footwear White/Footwear White/Gold Metallic,31410.0,2018-06-09,8500.0,2800.0,5000.0,9900.0,33.5,3.0,-76.7,6300.0,862.0
adidas-ultra-boost-20-lunar-new-year,adidas,ultra,adidas ultra boost 20 lunar new year,New,15600.0,11.5,11300.0,13700.0,6700.0,74.0,Core Black/Core Black/Collegiate Royal,18846.0,2020-01-19,24400.0,3700.0,12100.0,19200.0,22.7,138.0,-17.8,12900.0,273.0
adidas-nmd-r1-v2-mexico-city,adidas,nmd,adidas nmd r1 v2 united by sneakers mexico city,New,10400.0,11,8200.0,9100.0,900.0,9.0,White/Black/Green,14658.0,2020-05-28,26400.0,6900.0,9200.0,11500.0,10.9,344.0,-30.0,11700.0,143.0
adidas-eqt-support-adv-highs-and-lows-renaissance,adidas,eqt,adidas eqt support adv highs and lows renaissance,New,14000.0,7.5,14800.0,12000.0,2900.0,25.0,,18846.0,2017-08-26,20300.0,6900.0,9000.0,18900.0,35.6,19.0,-26.8,12200.0,1149.0
adidas-pure-boost-2017-running-white,adidas,pureboost,adidas pureboost 2017 running white,New,16800.0,12.5,17700.0,,0.0,0.0,,14658.0,2017-02-01,16800.0,16800.0,15100.0,18500.0,,1.0,13.6,16800.0,1355.0
adidas-ultra-boost-kolor-black,adidas,ultra,adidas ultra boost 3.0 kolor black,New,36500.0,8.5,58000.0,37400.0,-26700.0,-42.0,,26175.0,2017-02-17,87100.0,29600.0,18500.0,54400.0,49.2,7.0,38.2,56000.0,1339.0
adidas-zx-torsion-sesame,adidas,zx,adidas zx torsion sesame,New,13800.0,7.5,11000.0,10500.0,6400.0,86.0,Sesame/Core Black/Simple Brown,14658.0,,13800.0,6900.0,11900.0,15600.0,13.8,9.0,-7.1,8600.0,
adidas-nmd-r2-black-white,adidas,nmd,adidas nmd r2 black white,New,10600.0,11,12000.0,9400.0,0.0,0.0,,16752.0,2017-04-06,13600.0,6900.0,9000.0,12200.0,15.3,15.0,-37.5,9900.0,1291.0
adidas-zx-500-dragon-ball-z-son-goku,adidas,zx,adidas zx 500 dragon ball z son goku,New,35400.0,9.5,23300.0,47400.0,-900.0,-3.0,Orange/Collegiate Royal/Hi-Res Red,17799.0,2018-09-29,75900.0,16400.0,30800.0,39900.0,12.8,509.0,97.1,33600.0,750.0
